source_no,category,name_ko,romanization,desc_ko,name_en,desc_en,name_ja,desc_ja,name_zh_simp,desc_zh_simp,name_zh_trad,desc_zh_trad
203,탕 [Tang],갈낙탕,Gallaktang,소갈비와 낙지를 넣어 끓인 탕이다. 갈낙탕은 갈비와 낙지의 쫄깃한 식감을 느낄 수 있는 보양 음식으로 시원하면서 맑은 국물이 특징이다.,Short Rib and Octopus Soup,"A clear short rib soup boiled with octopus, this dish is high in energy and characterized by the chewy texture of the octopus and short rib and the deep flavor of the broth.",カルビとテナガダコスープ,牛カルビとテナガダコを入れて煮たスープ。カルビとテナガダコの歯ごたえを楽しめる滋養食で、すっきりとした澄まし汁なのが特徴。,排骨章鱼汤,用牛排骨和章鱼熬成的汤，排骨和章鱼口感鲜嫩、味道鲜美，是一道极佳的滋补清汤。,排骨章魚湯,是用牛排骨與章魚的湯。是一道口感勁道、味道鮮美的滋補清湯。
204,탕 [Tang],갈비탕,Galbitang,핏물을 뺀 소갈비를 무와 함께 푹 끓인 음식으로 맑은 국물이 구수하고 갈비를 뜯어 먹는 맛이 쏠쏠하다.,Short Rib Soup,"Beef ribs, soaked in cold water to remove the blood, and white radish chunks simmered together until tender. The clear stock is rich and savory, and the tender meat falls off the bone. (Glass noodles may be added.)",カルビタン,ぶつ切りにした牛カルビを大根と一緒にじっくり煮込んだスープ。スープの豊かな風味と骨ごとかぶりつくカルビの味は絶品。,牛排骨汤,用牛排骨熬的汤，牛排骨浸泡去血后与萝卜一起熬煮至肉烂，不但汤汁香醇，手抓排骨啃肉的感觉也很畅快。,牛排骨湯,將牛排骨浸泡去血水後剁成塊，與蘿蔔一起熬煮而成。高湯和排骨融合的味道，香醇可口。
205,탕 [Tang],감자탕,Gamjatang,"돼지등뼈와 감자, 우거지, 들깻가루, 깻잎, 파, 마늘 등을 넣고 얼큰하게 끓인 탕이다. 깊고 구수한 맛을 내며 뼈에 붙은 고기를 빼먹는 맛이 또 다른 재미다.",Pork Back-bone Stew,"A thick soup made of pig backbones, potato, green cabbage leaves (ugeoji), crushed perilla seeds, perilla leaves, spring onions, and garlic. A spicy dish with a deep and robust flavor.",カムジャタン,豚の背骨やじゃがいも、ウゴジ(白菜の外葉)、えごま、ごまの葉、にんにくなどを入れて煮た辛口の鍋料理。濃厚で深い味わいのスープが特徴。,脊骨土豆汤,用猪腔骨、土豆、干白菜、芝麻粉、苏子叶、葱、蒜头等熬煮而成。它味道醇香，尤其骨头上的肉啃起来别有一番趣味。,脊骨土豆湯,脊骨土豆馬鈴薯湯是放入豬腔骨、馬鈴薯、白蘇粉等後煮出的鮮辣湯。脊骨上的排骨肉啃起來別有一番風味。
206,탕 [Tang],곰탕,Gomtang,"소고기와 사골, 도가니 등을 솥에 넣고 오랜 시간 푹 고아 만든 음식이다. 대표적인 슬로푸드이며 단백질과 칼슘이 풍부해 산모와 노약자에게 좋은 음식이다.",Beef Bone Soup,"A thick soup made of beef, shank bones, and knucklebones gently simmered for hours. Rich in protein and calcium, gomtang (beef bone soup) is a great restorative food for postpartum mothers and elderly patients.",コムタン,牛の肉や脚の骨、ひざ皿の骨と肉などを釜でじっくり煮たスープ。たんぱく質とカルシウムが豊富に含まれており、産後の女性やお年寄りのスタミナ食にうってつけの一品。,精熬牛骨汤,牛骨汤是将牛肉和牛骨、牛筋等放入锅中长时间熬煮而成的美食。作为典型的慢食，含有丰富的蛋白质和钙质，适于产妇和老弱者食用。,精熬牛骨湯,精熬牛骨湯是將牛腿骨、牛胸骨肉、肥腸、牛胃等各種部位放入鍋中長時間熬煮而成的滋補飲食。
207,탕 [Tang],광어매운탕,Gwangeomaeuntang,"광어에 채소, 두부, 고춧가루 양념장을 풀어 얼큰하게 끓인 매운탕이다. 생선매운탕 재료로 광어는 가장 인기가 좋은 생선이다.",Spicy Flatfish Stew,"To make this dish, flatfish is boiled with vegetables and bean curd and seasoned with red chili powder sauce. Flatfish is the most popular ingredient in the spicy fish stews of Korea.",ヒラメの辛味スープ,ヒラメと野菜、豆腐を粉唐辛子ベースのたれで辛めに煮たスープ。魚スープの材料としてヒラメは最も人気がある。,鲜辣左口鱼汤,将左口鱼和蔬菜、豆腐、辣椒粉调味酱等一起熬煮的香辣鱼汤。说道香辣鱼汤的材料，左口鱼可以说是最佳选择。,鮮辣左口魚湯,用左口魚、蔬菜、豆腐、辣椒粉、調味醬等一起煮的香辣湯。左口魚是非常有人氣的香辣魚湯食材。
208,탕 [Tang],굴탕,Gultang,"육수에 무, 버섯 등을 넣어 끓이다, 마지막에 굴을 넣고 한소끔 끓인다. 시원하고 감칠맛이나 해장국으로도 좋다.",Oyster Soup,"For this dish, boil radish, mushroom, and other vegetables together, add fresh oysters, and bring to a boil. This soup has a deep and savory flavor and serves as an effective hangover remedy.",カキスープ,出し汁に大根、きのこなどを入れて煮る。最後にカキを入れて一煮立ちさせる。すっきりとした風味があり、酔い覚ましスープとしてもいい。,牡蛎汤,高汤里放入萝卜和蘑菇等材料一起熬煮，最后放入牡蛎再煮开一次即可。牡蛎汤味道甘甜鲜美，也是一道很好的醒酒汤。,牡蠣湯,高湯裡放入蘿蔔和蘑菇燉煮，最後放點牡蠣再煮片刻。牡蠣湯非常甘甜鮮美，是非常好的醒酒湯。
209,탕 [Tang],꼬리곰탕,Kkorigomtang,"소의 꼬리 부분을 푹 끓여 먹는 보양식이다. 꼬리뼈는 쫄깃쫄깃한 살코기가 많이 붙어 있고, 국물이 담백하고 고소해 최고의 영양식으로 꼽힌다. ",Oxtail Soup,"One of the best energy-boosting dishes in Korea, this soup is made by simmering oxtail for a long period of time. The meat on the oxtail bone is chewy and flavorful.",牛テールのコムタン,牛テールをじっくり煮込んだ滋養食。尾の骨は歯ごたえのある身が多くついていて、だしは淡泊で香りがあり、優れた栄養食といわれる。,精熬牛尾汤,用牛尾细熬慢炖的营养滋补汤。牛尾肉口感鲜嫩有嚼劲，汤味香浓鲜美，是首屈一指的滋补美食。,精熬牛尾湯,牛尾需要長時間燉煮，牛尾肉非常勁道，湯香濃鮮美，是首屈一指的滋補美食。
210,탕 [Tang],꽃게탕,Kkotgetang,"등딱지를 떼어낸 꽃게와 무, 애호박, 양파, 고춧가루 등을 넣어 끓인 탕이다. 알이 꽉 찬 게의 쫄깃한 살을 빼먹는 재미와 시원한 국물 맛이 일품인 요리다.",Spicy Blue Crab Stew,"This dish is a soup made with blue crab meat boiled with radish, young pumpkin, onion, and red chili powder.The fresh taste of the soup and sweet crab meat is simply irresistible.",ワタリガニ鍋,ワタリガニの甲羅をはがし、大根やエホバク、たまねぎ、唐辛子などを入れて煮込んだスープ。 卵がいっぱい入ったカニの肉を取り出して食べる楽しさと、すっきりしたスープの風味は絶品。,花蟹汤,剥掉花蟹背上的壳，加入萝卜、丝瓜、 洋葱以及辣椒粉等调料熬的汤。花蟹肉肥膏 满，肉质鲜嫩，汤的味道也是鲜浓爽口。,花蟹湯,花蟹湯是放入花蟹和蘿蔔、辣椒粉以及若干大醬煮出的海鮮湯。花蟹的甜味與大醬香濃的味道相融而成的美味佳餚。
211,탕 [Tang],내장탕,Naejangtang,"돼지나 소의 내장으로 끓여낸 탕 요리이다. 내장은 특유의 냄새가 있어 손질 과정에서 주의를 기울여야 하지만, 기력 회복에 좋은 보양식으로 즐겨왔다.",Offal Soup,"Made by boiling cow’s (or pig’s) intestines, this soup is considered an energy-boosting food. Due to their unique odor, the intestines should be carefully cleaned before cooking.",ネジャンタン,豚や牛の内臓を煮込んだスープ料理。内臓は独特のにおいがあり、下処理に気を遣うが、気力回復にいい滋養食とされ好まれている。,内脏汤,用猪或牛的内脏炖煮的汤。内脏带有独特的腥味，所以处理时要格外用心，但是可益气补虚，是一直以来广受欢迎的滋补美食。,內臟湯,是用豬或牛的內臟燉煮的湯。內臟帶有異味，清理的時候要格外用心。內臟湯一直都是非常受歡迎的滋補美食。
212,탕 [Tang],닭곰탕,Dakgomtang,"닭을 손질하여 찬물에 넣고 푸욱 무르도록 익힌 후, 고기는 살만 발라 양념을 해서 다시 닭 육수에 넣어 끓인 음식이다. 여성의 미용식이나 노인들의 여름철 보양식으로 좋다. ",Chicken Soup,"For this dish, boil a whole chicken in water to make a chicken broth and take the chicken out and remove the meat from the bones. Season the chicken meat and simmer in the broth for a long time. This high-energy, low-calorie food is great for women and seniors in the summer.",鶏肉のコムタン,鶏肉を下処理した後、水に入れてじっくりと加熱し、肉の身だけ取り出してたれをからめ、再び鶏肉の出し汁に入れて煮込んだ料理。美容や高齢者の夏の滋養食におすすめ。,精熬鸡肉汤,将处理好的鸡放入冷水中炖至烂熟，再将鸡肉撕下来调味后，重新放入汤中继续熬煮即可。精熬鸡肉汤有助于女性的美容养颜，也是老年人的夏季滋补食品。,精熬雞肉湯,把雞清理好後放入涼水充分燉煮。取煮好的雞肉撕成雞絲，調好味，再放入湯裡繼續煮片刻。精熬雞肉湯有助於女性的美容，也是對老年人非常好的夏季滋補食品。
213,탕 [Tang],대구맑은탕,Daegumalgeuntang,"두부, 표고버섯, 미나리 등의 재료를 냄비에 넣고 끓이다가 잘 손질한 대구를 넣어 팔팔 끓인 후 청주와 소금으로 간을 맞춘다. 마지막으로는 쑥갓을 넣어 향을 더한다.",Codfish Soup,"This soup is made by boilingbean curd, shiitake mushroom, and water parsley, and then adding cleaned codfish and bringing all ingredients to a boil. It is then seasoned with rice wine and salted to taste. To add fragrance, crown daisy is added just before serving.",たらスープ,豆腐や椎茸、セリなどの食材を鍋に入れて煮込み、タラを入れて十分煮込んだ後、清酒と塩で味をととのえる。最後にシュンギクを入れて香りを加える。,鳕鱼清汤,先将豆腐、香菇、水芹等材料放入锅中，加上适量的水熬煮，接着将切成块儿的鳕鱼放进去煮沸，用清酒和盐调味，最后放一些茼蒿既可增添清香的味道。,鱈魚清湯,鱈魚清湯是放入鱈魚和豆腐、水芹等食材煮，用食鹽和清酒調味的魚清湯。味道清淡，可沾酸醬吃，又稱「鱈魚湯」。
214,탕 [Tang],대구매운탕,Daegumaeuntang,"싱싱한 대구와 무, 고추 등의 채소에 고추장을 풀어 얼큰하게 끓인 요리다. 대구맑은탕은 싱그럽고 순한 맛이, 대구매운탕은 시원하고 매운 맛이 특징이다.",Spicy Codfish Stew,"This spicy codfish stew is made with fresh codfish, radish, red chili, and gochujang (red chili paste), and has a deep, hearty taste. The non-spicy version has a fresh, mild flavor.",たらの辛味スープ,新鮮なタラと大根や唐辛子などの野菜にコチュジャンを入れてピリッと辛く煮込んだ料理。たらスープは爽やかでまろやかな味が、たらの辛味スープはすっきりしたスパイシーな味が特徴。,鲜辣鳕鱼汤,用新鲜的鳕鱼和萝卜、尖椒等蔬菜加入辣椒酱熬煮的鱼汤，相比味道鲜美清香的鳕鱼清汤，鲜辣鳕鱼汤的味道则比较鲜辣爽口。,鮮辣鱈魚湯,鮮辣鱈魚湯是放入清淡的鳕魚和蘿蔔、辣椒等蔬菜，加入辣椒醬和辣椒粉煮出的辣味海鮮湯。
215,탕 [Tang],대합탕,Daehaptang,해감한 대합을 소금으로만 간을 하여 시원하게 끓인 맑은 탕이다. 대합은 서해안에서 주로 생산되는데 맛이 깔끔하고 고급스러워 전복에 버금간다는 평가를 받을 정도의 고급 조개이다.,Hard Clam Soup,"This clear soup is made by boiling cleaned hard clams and adding a dash of salt. Collected mostly along the west coast of Korea, daehap is considered a premium shellfish, comparable to abalone, and is popular for its refreshing taste.",ハマグリスープ,砂抜きしたハマグリを使った、塩のみで味を調えたすっきりとした澄まし汁。ハマグリは西海岸で主に生産される。味はさっぱりとして、アワビに続くと評価される高級貝。,文蛤汤,将吐沙干净的文蛤用食盐调味后，倒入清水熬煮而成的鲜美清汤。文蛤主要产自西海岸，味道鲜美、营养丰富，被誉为是仅次于鲍鱼的高级贝类。,文蛤湯,吐好沙的文蛤用食鹽調味後煮開即成鮮美清湯。文蛤主要產自西海岸，味道非常鮮美高檔，被譽為僅次於鮑魚的高級貝類。
216,탕 [Tang],도가니탕,Doganitang,"소의 무릎뼈인 도가니뼈를 고아 만든 보양식으로 칼슘이 많아 어린이와 임산부, 노인에게 좋은 음식이다. 수육은 간장을 찍어 먹고 진한 국물에 밥을 말아 먹는다.",Ox Knee Soup,"Made with slow-cooked oxknee cartilage, doganitang (ox knee soup)is particularly healthy and rich in calcium and, therefore, especially good for children, expecting mothers, and elderly people. The boiled ox-knee cartilage is sliced and served with soy sauce, and the thick broth is served with rice.",牛の膝軟骨スープ,牛の膝の軟骨を煮込んだ保養食で、カルシウムが豊富で、子どもや妊婦、高齢者にもおすすめの料理。スユク（ゆで肉）は醤油をつけて食べ、スープはご飯を入れて食べる。,牛膝骨汤,用牛膝骨长时间熬制的健康食物，富含钙质，对儿童、孕妇和老人很有好处。牛膝骨上的肉切成片蘸酱油吃，老汤则泡饭吃。,牛膝骨湯,牛膝骨湯是將牛膝骨長時間熬煮而成的滋補湯。熟肉可以沾醬油吃，湯可以泡飯吃。
217,탕 [Tang],도미맑은탕,Domimalgeuntang,"무와 멸치 등을 넣어 끓인 육수에 손질한 도미와 다진 마늘, 미나리, 쑥갓, 고추 등을 넣고 소금으로 간을 하여 끓인 맑은 탕이다.",Sea Bream Soup ,"Cleaned sea bream boiled with radish in anchovy-based broth and seasoned with chopped garlic, water parsley, crown daisy, green pepper, and salt. ",鯛スープ,大根と煮干しなどでとった出し汁に、鯛、みじん切りしたにんにく、セリ、春菊、唐辛子などを加えて塩で味を調えた澄まし汁。,鲷鱼清汤,用萝卜和鳀鱼等材料熬制高汤，再加入处理好的鲷鱼和蒜末、水芹、茼蒿、辣椒等调料，最后以盐调味即可。,鯛魚清湯,用蘿蔔與鯷魚等熬製高湯，再將清理好的鯛魚、蒜末、水芹、茼蒿、辣椒等放入湯裡煮開，用鹽調味即可。
218,탕 [Tang],도미매운탕,Domimaeuntang,"손질한 도미를 적당한 크기로 토막 내어 미나리, 쑥갓, 양파, 무, 고추, 마늘, 호박, 두부 등을 넣고, 고춧가루, 고추장을 풀어 얼큰하게 끓인 탕이다.",Spicy Sea Bream Stew,"Cleaned sea bream cut into pieces and boiled with water parsley, crown daisy, onion, radish, green pepper, chopped garlic, zucchini, and bean curd in water with red chili powder and gochujang (red chili paste). ",鯛の辛味スープ,鯛を食べやすい大きさに切り、セリ、春菊、玉ねぎ、大根、唐辛子、にんにく、カボチャ、豆腐などを加え、粉唐辛子、コチュジャンを溶いて辛く煮たスープ。,鲜辣鲷鱼汤,把处理好的鲷鱼切成适当大小的块状，加入水芹、茼蒿、洋葱、萝卜、辣椒、蒜、南瓜、豆腐等材料，再加入辣椒粉熬煮即可，味道十分香辣鲜美。,鮮辣鯛魚湯,將清理好的鯛魚切成適當大小，放入水芹、茼蒿、洋蔥、蘿蔔、辣椒、大蒜、西葫蘆、豆腐等食材，再加點辣椒粉和辣椒醬煮成辣湯。
219,탕 [Tang],동태탕,Dongtaetang,"동태에 무, 쑥갓 등의 채소와 두부, 고춧가루 등을 넣어 얼큰하게 끓인 탕이다. 칼칼한 맛이 겨울철에 더 잘 어울리며, 고춧가루를 넣지 않고 맑게 끓이기도 하다.",Pollack Soup,"This is a spicy soup made by boiling frozen pollack with bean curd, radish, crown daisy, and other vegetables and seasoning with red chili powder. Its spiciness makes it an ideal food for winter. However, a non-spicy version can be made by omitting the red chili powder, depending on one’s preference.",スケトウダラスープ,スケトウダラに大根、春菊などの野菜と豆腐、粉唐辛子などを入れて辛めに煮込んだスープ。辛く刺激的な味が冬によく合い、粉唐辛子を入れずに澄まし汁で煮込む場合もある。,冻明太鱼汤,将冻明太鱼和萝卜、茼蒿、豆腐、辣椒粉等一起炖煮而成的辣汤，鲜辣的味道很适合冬天食用，也可不放辣椒粉做成鲜美的清汤。,凍明太魚湯,把凍明太魚、蘿蔔、青蒿、豆腐、辣椒粉等一起燉煮。鮮辣的味道非常適合寒冷冬季享用，不放辣椒粉燉成清湯也非常美味。
220,탕 [Tang],뚜거리탕,Ttugeoritang,강바닥에 붙어사는 ‘꾹저구’라는 민물고기를 넣고 고추장을 풀어 풋고추와 양념을 넣은 다음 끓여 낸 매운탕이다. 보양식으로 유명한 추어탕보다 담백한 맛이 있다.,Spicy Floating Goby Stew,This is Spicy Floating Goby Stew boiled with green pepper and gochujang. It is a high-energy food reputed to be even more savory than chueotang (loach stew).,ウキゴリスープ,川底に生息する「ウキゴリ」という淡水魚を、コチュジャンや青唐辛子、薬味と一緒に煮た辛味スープ。滋養食として有名などじょうスープよりもあっさりとした味わいが特徴的。,虾虎鱼汤,虾虎鱼是一种在河底生活的淡水鱼，将虾虎鱼和清水一起放入锅中，加入辣椒酱和辣椒粉及各种调料熬煮而成，是一种比泥鳅汤更加清淡鲜美的滋补食品。,蝦虎魚湯,蝦虎魚是棲息在河底的一種淡水魚。放入辣椒醬、青椒和調料跟蝦虎魚一起煮即可，相比著名的滋補美食泥鰍湯口感要清淡。
221,탕 [Tang],뚝배기불고기,Ttukbaegibulgogi,간장 양념장에 잰 소고기를 뚝배기에 담고 육수를 넉넉하게 부어 탕처럼 끓인 음식이다. 당면을 함께 넣어 먹기도 한다.,Hot Pot Bulgogi,Soy-marinated bulgogi cooked with broth in an earthenware pot.Glass noodles may be added.,土鍋プルゴギ,醤油ベースの薬味に漬けた牛肉を土鍋に入れ、だし汁を加えて煮た料理。春雨を加えることもある。,砂锅烤牛肉,将牛肉用酱油制成的调味酱腌制一下，然后放入砂锅中，再倒入适量的高汤煮熟即可。还可将粉丝用水煮一遍后放入汤里配着牛肉吃。,砂鍋烤牛肉,將牛肉切成片後用醬油調味料攪拌，與蔬菜、粉絲一起在砂鍋燉煮，與微甜熱燙的湯汁一起食用，則別有風味。
222,탕 [Tang],롤삼계탕,Roll Samgyetang,"뼈를 바른 닭살을 넓게 펴 밑간한 다음 찹쌀, 대추, 밤, 은행, 수삼 등을 넣고 지은 밥을 김밥 싸듯 둘러 실로 묶은 뒤 육수에 끓여 알맞게 잘라 국물과 함께 곁들인다.",Rolled Ginseng Chicken Soup,"This is a roll featuring deboned, seasoned chicken with glutinous rice, jujubes, chestnuts, gingko, and fresh ginseng. The chicken roll is tied off with a string and boiled in a broth. The roll is then sliced into pieces and served with soup.",ロールサムゲタン,骨を取り除いた鶏肉を平らにたたいて下味を付け、もち米、なつめ、栗、銀杏、高麗人参などを入れて炊いたご飯をのり巻きのように巻いて糸で縛り、スープで煮込んで適当な大きさに切り、スープを添えて食べる。,鸡肉卷参鸡汤,鸡肉去骨摊平并腌制一下，然后将糯米、红枣、栗子、银杏、水渗等材料依次放在上面，再放上米饭，像做紫菜包饭一样将其卷起来，用绳子绑住，放入高汤里熬煮至熟后，切成适当的大小，和汤混在一起吃即可。,雞肉卷參雞湯,把剔骨雞肉展開後撒上鹽，把糯米、紅棗、栗子、銀杏、水參等跟大米一起做成米飯，用展開的雞肉包住營養飯後像包壽司一樣卷起來，並用線頭綁好，再用湯煮熟。吃的時候切成適當大小後跟湯一起食用即可。
223,탕 [Tang],매운탕,Maeuntang,"생선을 주재료로 하여 채소, 두부 등을 넣고 매운 고춧가루 양념장을 풀어 얼큰하게 끓인 탕이다. 대구, 우럭, 명태 등으로 끓인 매운탕을 즐겨 먹는다.",Spicy Fish Stew,"A traditional fish stew seasoned generously with red chili powder or gochujang. The fish most commonly used here are haddock, rock cod, and pollack.",魚の辛味スープ,魚や野菜、豆腐などに様々な薬味を加え、粉唐辛子やコチュジャンを溶いて煮た辛口の鍋。魚はタラやソイ、スケトウダラなどが一般的。,鲜辣鱼汤,以鱼为主料，加入蔬菜、豆腐以及各种调味料和辣椒粉或辣椒酱熬煮而成。主料多使用鳕鱼、石斑鱼、明太鱼等。,鮮辣魚湯,鮮辣魚湯是放入鮸魚和蔬菜、豆腐後，加入辣調味醬煮出的魚湯。可按季節選用鳕魚、石斑魚、明太魚等魚來煮也很美味。
224,탕 [Tang],메기매운탕,Megimaeuntang,"무를 넣어 끓인 국물에 메기와 고추장, 미나리, 쑥갓, 깻잎 등을 넣어 끓인 탕이다. 기호에 따라 수제비나 라면을 넣어 먹기도 한다.",Spicy Catfish Stew,"To prepare this spicy soup, catfish is boiled with radish, crown daisy, sesame leaf, and water parsley and seasoned with gochujang (red chili paste). Pieces of hand-torn flour dough or ramen noodles can be added as well, depending upon one’s preference.",ナマズの辛味スープ,大根を入れて煮た出し汁にナマズとコチュジャン、セリ、春菊、エゴマの葉などを入れて煮込んだスープ。好みによりすいとんやラーメンを入れて食べる場合もある。,鲜辣鲶鱼汤,萝卜加清水熬成汤，再放入鲶鱼和辣椒酱、水芹、茼蒿、苏子叶等一起炖煮即可，也可根据喜好放一些面片或泡面。,鮮辣鯰魚湯,蘿蔔湯裡放入鯰魚、辣椒醬、水芹、青蒿、蘇子葉等一起燉煮。可根據喜好放點麵片或速食麵。
225,탕 [Tang],민어탕,Mineotang,민어와 호박 등 채소를 넣고 끓인 탕이다. 민어는 여름에 살과 기름이 올라 맛이 가장 좋기 때문에 여름철에 보신식품으로 많이 먹는다.,Croaker Stew,"This dish is prepared by boiling croaker with zucchini and other vegetables. Croaker reaches its peak in summer, which is why it is often enjoyed in summer as an energy-boosting food.",ニベスープ,ニベとカボチャなどの野菜を入れて煮込んだスープ。ニベは夏に油がのり味が最もいいとされるため、夏の滋養食としてよく食べられる。,黄姑鱼汤,用黄姑鱼和西葫芦等蔬菜一起炖煮而成的鱼汤。夏季的黄姑鱼最肥美，因此黄姑鱼汤也是夏季常吃的滋补美食。,黃姑魚湯,黃姑魚和西葫蘆等蔬菜一起燉煮。夏季是黃姑魚盛產季節，所以夏天多吃黃姑魚湯。
226,탕 [Tang],버섯들깨탕,Beoseotdeulkkaetang,"육수에 버섯과 들깨를 넣고 걸쭉하게 끓여먹는 구수한 탕이다. 들깨는 한국의 대표적인 허브로 콜레스테롤을 낮추고, 당뇨, 피부미용에까지 좋다는 연구 결과가 나오면서 요즘은 일본에서도 인기이다.",Mushroom and Perilla Seed Stew,"This is a hick stew made by boiling mushrooms and perilla seeds in broth. After research showed that perilla seeds help lower cholesterol and blood sugar and improves in health, this dish became popular in both Japan and Korea.",きのことエゴマスープ,出し汁にきのことエゴマを入れてとろとろに煮込んで食べるスープ。エゴマは韓国を代表するハーブで、コレストロールを下げ、糖尿、お肌にもいいという研究結果が出て以来日本でも人気。,蘑菇紫苏籽汤,高汤里加入蘑菇和紫苏籽熬煮而成的浓汤。紫苏是韩国代表性的草本植物，最近要研究结果称，紫苏籽不仅能降低胆固醇，还有助于降糖和皮肤美容，最近在日本也大受欢迎。,蘑菇紫蘇籽湯,高湯裡放入蘑菇和紫蘇籽熬成濃湯來喝。紫蘇籽是韓國代表性香草，可以降低膽固醇，還有助於皮膚美容，最近在日本也極有人氣。
227,탕 [Tang],복맑은탕,Bokmalgeuntang,"복어뼈와 채소로 끓인 국물에 복어, 미나리, 콩나물 등을 넣고 팔팔 끓여 낸다. 복어는 10월부터 3월 초까지가 살이 통통하고 독기도 약하기 때문에 제일 맛있다.",Puffer Fish Soup,"This soup is prepared by bringing puffer fish bones, water parsley, and bean sprouts to a boil. Puffer fish is best from October to early March as it puts on fat and becomes less toxic at that time.",ふぐスープ,ふぐの骨と野菜を煮込んだスープにふぐやセリ、モヤシなどを入れて煮込んだ料理。ふぐは10月から3月初めが旬で、身が多く、毒気も弱いので、一番おいしい。,河豚清汤,先用河豚的鱼骨和蔬菜熬出浓汤，再将河豚肉、水芹、豆芽等放入锅中熬煮至沸。十月到三月初的河豚肉质最为肥美鲜嫩，且毒性较弱，因此味道最鲜美。,河豚清湯,放入處理好的河豚和豆腐、豆芽等煮出的海鮮清湯，是味道爽口、清淡的滋補飲食。
228,탕 [Tang],복매운탕,Bokmaeuntang,"냄비에 데친 배추와 무를 깔고 손질한 복어와 두부 등의 재료를 가지런히 담은 후 고추장, 고춧가루 등의 양념과 육수를 부어 끓여 낸 국물 요리다. 숙취 해소에 좋다.",Spicy Puffer Fish Stew,"Bokmaeuntang (spicy pufferfish stew) is made by placing parboiled Korean cabbage and radish in a pot and boiling with other ingredients, including broth, cleaned pufferfish, bean curd, gochujang, and red chili powder. It is an excellent dish for easing a hangover.",ふぐの辛味スープ,鍋に茹でた白菜と大根を敷き、ふぐと豆腐などの食材を入れたあと、コチュジャンや粉唐辛子などの薬味と肉の出し汁を入れて煮たスープ料理。二日酔いの解消にも効果的。,鲜辣,河豚汤将萝卜和用水焯过的白菜铺在锅底，切成块儿的河豚和豆腐等材料整整齐齐地放在上面，然后加入辣椒酱和辣椒粉等调料，再倒入高汤煮至沸腾即可。鲜辣河豚汤还有助于缓解宿醉。,鮮辣河豚湯,鮮辣河豚湯是放入處理好的河豚和蘿蔔、豆腐等，加入辣椒醬、辣椒粉等辣調料煮出的鮮辣魚湯。
229,탕 [Tang],사골우거지갈비탕,Sagolugeojigalbitang,"사골 국물에 된장 양념을 한 우거지와 갈비를 넣어 끓인 탕이다. 소의 뼈로 끓이기 때문에 깊은 맛이 나며, 우거지가 들어가 끓일수록 구수한 맛이 난다.",Korean Cabbage and Short Rib Soup,This short rib soup is made with beef bone broth and ugeoji (dried outer leaves of Korean cabbage) seasoned with doenjang (soybean paste).Both the beef bone broth and ugeoji add a savory depth to the dish.,牛骨と白菜カルビタン,牛骨でとった出し汁にテンジャンベースのたれで下味をつけた白菜の外葉とカルビを入れ煮込んだ料理。牛骨を煮込むため、深い味わいになる。また、白菜の外葉が入ることで風味がでる。,牛骨干白菜排骨汤,用牛骨熬汤，加入以大酱调味的干白菜和排骨一起炖煮即可。牛骨熬成的汤味道十分香浓，加上干白菜，越煮味道越香醇。,牛骨幹白菜排骨湯,在牛棒骨湯裡放點大醬，然後放入幹白菜與排骨一起燉煮。牛棒骨湯非常香濃，幹白菜也越煮越香。
230,탕 [Tang],삼계탕,Samgyetang,"어린 닭의 배 속에 인삼, 대추, 밤, 찹쌀, 마늘 등을 넣고 푹 고아 만든 음식이다. 닭고기와 인삼이 조화를 이룬 전통적인 여름철 보양식이다.",Ginseng Chicken Soup,"Tender, whole, young chicken stuffed with ginseng, jujubes, sweet rice, and whole garlic cloves and simmered until tender. The combination of chicken and ginseng creates a complex yet harmonious flavor. This is a classic summertime dish that revitalizes the body and soul.",サムゲタン,若鶏に高麗人参や、なつめ、栗、もち米、にんにくなどを詰めてじっくり煮込んだスープ。鶏肉と高麗人参が抜群の調和を見せる、伝統的な夏のスタミナ料理。,参鸡汤,在小鸡的腹中填入人参、大枣、栗子、糯米、蒜头等，经长时间熬煮而成。鸡肉和人参融合在一起，是传统的夏季保健食品。,蔘雞湯,在小雞的腹中填入人蔘、大棗、板栗、糯米、大蒜等食材後經長時間熬煮而成，人蔘香氣和雞肉融合的香醇美味。是韓國傳統的夏季養生飲食。
231,탕 [Tang],생태탕,Saengtaetang,"생태는 얼리거나, 말리지 않은 싱싱한 생물 상태의 명태를 부르는 명칭이다. 생태탕은 생태에 무, 쑥갓 등의 채소와 두부, 고춧가루 등을 넣어서 얼큰하게 끓인 탕이다. ",Pollack Soup,"Spicy saengtae (fresh pollack) soup made with fresh pollack, bean curd, radish, crown daisy, and other vegetables and seasoned with red chili powder.",スケトウダラスープ,凍らせたり干していない生のスケトウダラが入るスケトウダラスープ。スケトウダラに大根、春菊などの野菜と豆腐、粉唐辛子などを入れて辛めに煮込む。,鲜明太鱼汤,鲜明太鱼是指没有冷冻或风乾的新鲜明太鱼。将鲜明太鱼和萝卜、茼蒿等蔬菜以及豆腐、辣椒粉等材料一起熬煮即可，味道非常鲜美爽口。,鮮明太魚湯,鮮明太魚是指沒有冷凍和沒有風乾的新鮮明太魚，把鮮明太魚跟蘿蔔、青蒿、豆腐、辣椒粉等一起燉煮非常美味。
